STATE,OZONE
AK,23.180000000000003
AL,25.49
AR,26.82
AZ,21.4175
CA,26.54222222222222
CO,22.2175
CT,36.39
FL,26.520000000000003
GA,29.185000000000002
HI,23.02
ID,15.235000000000001
IL,29.524285714285714
IN,28.19666666666667
KS,25.055
KY,22.797500000000003
LA,25.560000000000002
MD,27.41
ME,24.996000000000002
MI,28.292499999999997
MN,24.705000000000002
MS,27.21
MT,28.17
NC,29.30625
ND,25.41
NE,27.27
NH,27.975
NJ,34.23
NM,24.31
NV,25.43
NY,29.212555555555557
OH,18.738714285714284
OK,23.65
ON,25.38
PA,23.224444444444444
SD,36.22
TN,20.7932
TX,22.783666666666665
UT,29.317500000000003
VA,24.58
VI,31.7
VT,25.715
WA,18.05375
WI,17.81
WV,15.043333333333331
WY,24.889999999999997
